,0,1,2,3,4,5,6,7,8,9
400_prims_1_seed_test,0.7083333333333334,0.875,0.9583333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.75,0.875,0.8333333333333334
400_prims_2_seed_train,0.7291666666666666,0.74375,0.7391666666666666,0.73875,0.7079166666666666,0.7345833333333334,0.7383333333333333,0.7241666666666666,0.7008333333333333,0.7195833333333334
400_prims_2_seed_test,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.875,0.875,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.8333333333333334,0.875
400_prims_3_seed_train,0.48,0.47708333333333336,0.4775,0.4716666666666667,0.4716666666666667,0.5125,0.4891666666666667,0.485,0.5033333333333333,0.48083333333333333
400_prims_3_seed_test,0.7916666666666666,0.75,0.9166666666666666,0.7916666666666666,0.7916666666666666,0.9166666666666666,1.0,0.7916666666666666,0.75,0.875
400_prims_4_seed_train,0.445,0.46166666666666667,0.45,0.45458333333333334,0.4320833333333333,0.41208333333333336,0.44583333333333336,0.43416666666666665,0.435,0.4375
400_prims_4_seed_test,1.0,0.9583333333333334,1.0,0.9166666666666666,0.875,0.9583333333333334,0.875,1.0,1.0,0.9166666666666666
500_prims_0_seed_train,0.39166666666666666,0.38033333333333336,0.378,0.4196666666666667,0.392,0.4093333333333333,0.3923333333333333,0.377,0.412,0.37066666666666664
500_prims_0_seed_test,0.8333333333333334,0.9583333333333334,0.7083333333333334,0.9166666666666666,0.75,0.875,0.75,0.7916666666666666,0.8333333333333334,0.75
500_prims_1_seed_train,0.3903333333333333,0.37666666666666665,0.3863333333333333,0.37666666666666665,0.39866666666666667,0.38233333333333336,0.3873333333333333,0.392,0.395,0.37933333333333336
500_prims_1_seed_test,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.875,1.0,1.0,1.0,1.0
500_prims_2_seed_train,0.36833333333333335,0.3353333333333333,0.3406666666666667,0.363,0.329,0.37133333333333335,0.342,0.3466666666666667,0.35733333333333334,0.338
500_prims_2_seed_test,0.9583333333333334,0.875,0.9583333333333334,0.9166666666666666,0.875,0.9583333333333334,0.9583333333333334,0.875,0.875,0.875
500_prims_3_seed_train,0.45966666666666667,0.43266666666666664,0.4106666666666667,0.446,0.42966666666666664,0.4493333333333333,0.425,0.44166666666666665,0.4673333333333333,0.4573333333333333
500_prims_3_seed_test,0.7916666666666666,0.875,0.8333333333333334,0.875,0.875,0.875,0.9583333333333334,0.875,0.8333333333333334,0.875
500_prims_4_seed_train,0.44366666666666665,0.44866666666666666,0.42733333333333334,0.451,0.44666666666666666,0.43533333333333335,0.46166666666666667,0.44133333333333336,0.43933333333333335,0.43133333333333335
500_prims_4_seed_test,1.0,1.0,1.0,1.0,0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.8333333333333334
